ID,Name,Health,Voice,CombatAnimation,CombatAnimationOffset,OverworldAnimation,OverworldAnimationOffset,VfxOffset,BossScreenPosition,Dice,Level,Equipment,Super Equipment,Super Dice,Super Health,Super?,Boss?,Rare?,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Innate,AI,Chat Voice,Chat Style,Always say First Words?,First Words,Always say Last Words?,Last Words 1,Last Words 2,Last Words 3,Last Words (if they win),Last Words Endgame
diceydungeons_copycat,Copycat,34,voiceovers/copycat,copycat,-50|-10,copycat,0|0,-80|-100,1016|645,3,3,,,0,8,NO,NO,YES,runscript(~diceydungeons/copycat~|[self|target|Rules.upgradeenemyequipment|false]);,,,,runscript(~diceydungeons/copycat~|[self|target|Rules.upgradeenemyequipment|true]);,copyequipment,,chat_monster1,looping,NO,,NO,I know you are[;] but what am I?[],I'm rubber[;] you're glue. Bounces off|me and sticks to you!,Takes one to know one!,,
diceydungeons_keymaster,Keymaster,34,voiceovers/keymaster,keymaster,-60|-30,keymaster,-30|-40,-140|0,1052|555,1,3,Lock 1|Lock 2|Lock 3|Lock 4|Lock 5|Lock 6,Lock 1|Lock 2|Keyblade|Keyblade|Keyblade|Lock 6,0,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Oh[;] nicely done! Really solid fighting there!||You're going to make such a great minion once you lose!,Oh[;] another really neat fight!||I wasn't NEARLY this good back when I|was a contestant!||You're going to be a top-ranked minion in no time!,,,
diceydungeons_bully,Bully,34,voiceovers/bully,bully,60|-80,bully,-50|-10,-140|40,1088|550,2,3,Rock|Rock|Rock|Rock|Fists,Rock|Rock|Rock|Rock|Knuckle Duster,1,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,I'll be back! And I've got plenty more rocks|where those came from!||Which is here[;] in this underground|dungeon full of rocks!,You think you're so great! But you know what?||You're not! ROCKS are great and they're gonna get ya!,,,Rock on! By which I mean I'm going to put a ROCK ON you!||But in[;] like[;] a friendly way because we're friends|now[;] right? RIGHT?
diceydungeons_handyman,Handyman,32,voiceovers/handyman,handyman,-30|0,handyman,-30|-10,-80|-60,1026|592,3,3,Spanner|Hammer|Pea Shooter,Hammer|Spanner|Spanner|Hammer,1,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Amazing work! High five!||And again[;] and again - come on[;] keep|going till you've got all the hands!,Good on ya! Gimme thirty!,Awesome! Put it there! And here! Get two of your|buddies along and put it everywhere!,,
diceydungeons_fireman,Fireman,34,voiceovers/fireman,fireman,-90|20,fireman,-20|-30,-140|-40,1062|595,4,3,Fireball|Fireball,Fireball|Fireball|Fireball|Fireball,1,8,NO,NO,NO,,,,,,weakice,,chat_monster1,looping,NO,,NO,Good one! I love an old-fashioned flame war!,Sick burn!,Now we're playin' with fire!,,Ah that was a good time[;] appreciate it!||And hey[;] not to be all corny but thanks for leadin' that|insurrection before[;] it's really made a difference!
diceydungeons_yeti,Yeti,34,voiceovers/yeti,yeti,-20|-110,yeti,-60|0,-40|-80,986|600,4,3,Ice Shard|Ice Shard|Ice Age,Blizzard|The Cold,1,8,NO,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ugh[;] what are you even doing here?||These dungeons *used* to be cool.,Ugh[;] I guess they'll let anyone be a contestant these days.,,,Ugh[;] you only beat Lady Luck because we all helped you[;]|you know. You're not as special as you think.
diceydungeons_haunted jar,Haunted Jar,34,voiceovers/haunted_jar,haunted_jar,50|-90,hauntedjar,0|0,-135|-20,1054|630,4,3,Poison Cloud|Blight,Poison Cloud|Poison Cloud|Blight,1,8,NO,NO,NO,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,......... doomed ......... you ......... remember .........,...... even ............ was once .................. trapped ...... eternity ........,,,
diceydungeons_cactus,Cactus,32,voiceovers/cactus,cactus_warrior,-90|80,cactuswarrior,-20|0,-120|-80,1036|585,3,3,Cactus Spear|Cactus Shield,Sword,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,NO,,NO,Oh[;] WHY can't I do better?|What am I doing wrong?||I'm not trained for this[;] I'm just a plant!,Oh[;] but I tried so hard!||I don't know what else I can do. I used a special gel|on my spikes but they won't grow any sharper.,Ohhh[;] I lose AGAIN. And nobody wants to give a cactus a|nice comforting hug!,,Thank you for visiting[;] it's so nice to see you!||Oh[;] I wish I could beat you just once[;] though. 
diceydungeons_vacuum,Vacuum,30,voiceovers/vacuum,vacuum,-10|-90,vacuum,-100|50,,928|625,3,3,Dust Cloud|Blood Suck,Dust Cloud|Blood Suck,1,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Ugh! How embarassing.||If this gets back to the Roombas I'll never hear the end of it!,Well[;] I'm running on my emergency battery!|What can you expect?,Honestly[;] everyone knows you shouldn't|use a vacuum to clean up dice.||A dust pan and brush[;] that's where it's at.,,
diceydungeons_drain monster,Drain Monster,34,voiceovers/drain_monster,drain_monster,0|0,sewermonster,0|0,-240|-80,1036|502,3,3,Slime Ball|Slime Ball|Sinkhole,Slime Ball|Slime Ball|Sinkhole,1,8,NO,NO,YES,,,,,,strongpoison,,chat_monster2,looping,NO,,NO,You can act all high and mighty if you like[;] but I live in|the drains. I hear everything. I know EVERYONE's secrets.,,,,Yeah fine[;] but when you're out in the world and hear a|gurgle in the drains[;] you watch out!||It could be me[;] ready to get you when you LEAST EXPECT IT...
diceydungeons_aurora,Aurora,42,voiceovers/aurora,weather_goddess,-50|20,weathergoddess,-20|0,-180|-100,1101|620,4,4,,,1,8,NO,NO,NO,if(Rules.upgradeenemyequipment) { var weather = rand([~Hurricane+~|~Thunder Storm+~|~Heatwave+~|~Snowstorm+~]); giveequipment([weather|weather|weather|~Mood Change+~]|true|false); } else { var weather = rand([~Hurricane~|~Thunder Storm~|~Heatwave~|~Snowstorm~]); giveequipment([weather|weather|weather|~Mood Change~]|true|false); },,,,,,,chat_monster2,looping,NO,,NO,You haven't been here long yet[;] have you?||I can still smell the rain on you[;] I can see the last|glimpses of sunlight in your eyes.,Was it cold when you entered the dungeons? Was there hail?|Are the snowstorms still looking for me?,,,A fair fight. I'm sorry you didn't get your hearts desire[;] but|at least you got to see the towering clouds again.
diceydungeons_rhino beetle,Rhino Beetle,46,voiceovers/rhino_beetle,beetle_warrior,50|20,beetlewarrior,-10|-50,-110|-80,1047|550,3,4,Battle Axe|Beetle Headbutt,Battle Axe|Beetle Headbutt,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,NO,,NO,FEE. FI. FO. FICE. I SMELL THE BLOOD|OF A WALKING DICE.,BE YOU ALIVE OR BE YOU DEAD I'LL ROLL|YOUR BONES TO MAKE MY BREAD.,,,HELLO[;] FRIEND. YOU WILL PERISH[;] BUT IT IS|GOOD TO SEE YOU AGAIN.
diceydungeons_dire wolf,Dire Wolf,42,voiceovers/dire_wolf,dire_wolf,100|-10,direwolf,-40|0,-60|40,1009|575,4,4,Dire Wolf Howl|Claw|Claw,Dire Wolf Howl|Claw|Claw|Claw|Claw,2,8,NO,NO,NO,,,,,,strongpoison,,chat_monster1,looping,NO,,NO,Grrrrr! I'll get you next time[;] you|sneaky little cube.||Also hey look if you see my kid can you make|sure he's brushing his teeth? ,Grrrrr[;] one day I'll beat you!||And hey[;] could you take another message to my kid?||Could you tell him to remember the Gardener is our|colleague and he's NOT allowed to eat him? Thanks!,,,
diceydungeons_kraken,Kraken,44,voiceovers/kraken,kraken,20|-10,kraken,-80|-60,-200|-20,1133|600,5,4,Camouflage|Deep Sea Howl|Overwhelm,Overwhelm,0,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Grr! This is outrageous!||I was SLEEPETH below the UPPER DEEP|and you WOKE ME UP for THIS?,I was WINNOWING with GIANT ARMS the SLUMBERING GREEN[;]|and you INTERRUPT me for YET ANOTHER fight?,And again! Again you barge in while I've|LAIN FOR AGES in UNINVADED SLEEP.||Not so uninvaded now! I hope you're|pleased with yourself!,,You WON and yet STILL you must wake me|for your IDEA of a FIGHT?||May HUGE SPONGES of MILLENNIAL GROWTH|AND HEIGHT consume you all! 
diceydungeons_crystalina,Crystalina,48,voiceovers/crystalina,crystalina,0|0,crystalina,-10|0,-60|-60,1003|660,4,4,Crystallize|Crystallize@attack|Crystallize|Crystallize@attack,Crystallize|Crystallize@attack|Crystallize|Crystallize@attack,1,8,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,CRYSTAL|C R Y S T A L||C    R    Y    S    T    A    L,T O P A Z     J A S P E R    B L O O D S T O N E||A M E T H Y S T||A   M   E   T   H   Y    S   T,Q|U||A|R||T|Z,,T U R Q U O I S E
diceydungeons_wicker man,Wicker Man,44,voiceovers/wicker_man,wickerman,-130|40,wickerman,10|-20,-80|-60,997|585,3,4,Wicker Staff|Venus Fly Trap,Burning Light|First Aid Kit|Venus Fly Trap,2,8,NO,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,Ah don't feel bad[;] mate! I'll just weave|myself back together again...,Maybe this time I'll weave myself longer legs!||Ah[;] it's great to be made of wicker[;] you should try it!,Hmm. Being a wicker man isn't working for me.||Maybe I'll try being a wicker golden retriever instead...,,Great that you're still around[;] mate!||Every fight's a chance to weave myself up again!|Gonna go for huuuuuge ears this time I reckon.
diceydungeons_snowman,Snowman,44,voiceovers/snowman,snowman,-80|0,snowman,-10|-50,-100|0,1022|612,4,4,Snowball|Snowball|Snowball|Snowball,Blizzard|Blizzard,0,8,NO,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,I love a good snowball fight[;] and|that really was pretty good.||Wanna stick around and make snow angels?,You know[;] my friends call me Frosty. I don't think|you're a friend yet... but maybe you could be?,They say there's no business like snow business.,,It's great to see you again! Hey[;] has anyone shown|you the new staff room?
diceydungeons_loud bird,Loud Bird,44,voiceovers/loud_bird,loudbird,0|-80,loudbird,0|-50,-180|-20,1025|530,4,4,Squawk|Flight|Echo Blast,Squawk|Flight|Echo Blast,1,10,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Caw! Ca-caaaaw!||...Caw!,Caw.||CAW.,CAW. CAW. CAW.||Caw?,,CAAAAAW caw.||CAW!
diceydungeons_rotten apple,Rotten Apple,44,voiceovers/rotten_apple,apple_mimic,0|60,applemimic,0|0,-100|-100,1030|695,3,4,Rotten Core|Worm Bite,Rotten Core|Worm Bite,1,8,NO,NO,YES,,,,,,,,chat_monster2,looping,NO,,NO,Hey[;] hey[;] why is a dice like an apple?||THEY BOTH HAVE PIPS DO YOU SEE,Hey[;] why is a dice like an apple?||Because they both yearn to one day escape the Dicey Dungeons!,Hey[;] why is a dice like an apple?||We both contain zero cholesterol.||Not everything is a joke[;] you know. Sometimes|it's good to learn a fact! ,,Hey[;] hey[;] why is a dice like an apple?||Because they're both vicious fighters that did equally well in|that fight just then[;] I think absolutely let's call that a draw.
diceydungeons_wisp,Wisp,42,voiceovers/wisp,wisp,-40|40,wisp,20|-60,-40|-100,991|645,4,4,Fool's Fire|Burning Light|Burning Light,Fool's Fire|Burning Light|Burning Light,1,8,NO,NO,YES,,,,,,strongfire,,chat_monster1,looping,NO,,NO,Daaaa! Daaa! Da-doo! Bounce bounce!||I love it when you contestants win[;]|your victory song is so much fun!,,,,BOUNCE BOUNCE BOUNCE!||Yippeeee! You can do it!
diceydungeons_cowboy,Cowboy,42,voiceovers/cowboy,cowboy,140|50,cowboy,10|0,0|0,1039|595,3,5,Six Shooter|Midnight Charm,Six Shooter|Midnight Charm|Midnight Charm,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,NO,,NO,Good fightin'[;] high roller! I'll cook your goose next|time[;] don't you worry.,Well[;] put it there[;] one-slinger!||You did it[;] and you lived to fight another day!||And when that day comes you'll lose for sure[;]|so don't you worry about ol' Cowboy.,,,Welcome back[;] squartner! Good fighting[;] but I reckon I can|take you next time[;] you just wait and see. 
diceydungeons_rat king,Rat King,42,voiceovers/rat_king,rat_king,10|50,ratking,-60|-10,-80|-40,1017|570,3,5,Rat|Rat|Rat|Rat|Rat|Rat,Rat|Rat|Rat|Rat|Rat|Rat,1,8,NO,NO,NO,,,,,,strongpoison,,chat_monster1,looping,NO,,NO,Take[;] then[;] thy victory!||Do with it what thou wilt in these underground realms[;]|for never wilt thou return to the surface! ,In truth[;] it would be undignified for a king to|fight as well as a simple adventurer.||Have thy moment of victory[;] thou wilt not have my crown!,Ah[;] mayhap I have lost[;] yet am I not still a king?||And in truth[;] thou hast won[;] yet art|thou not still a weird ugly dice?,,Thy victory is fleeting[;] and my majesty is eternal!|Thou shalt cower in terror yet!  
diceydungeons_warlock,Warlock,48,voiceovers/warlock,warlock,-80|20,warlock,-70|-50,-100|-40,1079|630,3,5,Shooting Star|Dark Shadow,Shooting Star|Dark Shadow,1,16,NO,NO,YES,,,,,,,,chat_monster1,sequential,NO,,NO,...Eheu fugaces labuntur anni.,...Marcet sine adversario virtus.,*long sigh* Alea jacta est.,,...Faber est suae quisque fortunae.
diceydungeons_banshee,Banshee,50,voiceovers/banshee,banshee,-60|0,banshee,-20|0,-60|-60,978|640,4,5,Wail|Lament|Lament|Shriek,Wail|Lament|Lament|Shriek,1,10,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,AAAAAAAAAAAAAAA,AAAAAAAA||AAAAAAAAAA,AAAAA||AAAAAA|AAAAAA||AAAAAAAAAAAAAAA,,AAAAAA||AAAAAAAAAA|AAAAA|AAA|AA|A
diceydungeons_cornelius,Cornelius,100,voiceovers/cornelius,cornelius,-30|10,cornelius,0|-40,-100|-60,1033|450,0,5,Nightmare,Nightmare,1,10,NO,NO,YES,,,,,,gaindice,,chat_monster1,looping,NO,,NO,...,,,,
diceydungeons_paper knight,Paper Knight,48,voiceovers/paper_knight,cardboard_warrior,-70|-10,cardboardwarrior,-90|0,0|-80,960|650,3,5,Cardboard Sword|Glue,Cardboard Sword|Glue,1,10,NO,NO,NO,,,,,,weakfire,,chat_monster1,looping,NO,,NO,It's not fair! It's not fair! I'm telling Lady Luck!,Aaaaaaa[;] you cheated[;] I'm telling on you!||You're gonna be in so much trouble! ,,,I told Lady Luck you were still fighting and she said you were|going to get sent to detention! So there!
diceydungeons_skeleton,Skeleton,50,voiceovers/skeleton,skeleton,60|-150,skeleton,-20|-80,-180|0,1120|530,3,5,Two Handed Sword|Shriek,Two Handed Sword|Shriek,1,10,NO,NO,NO,,,,,,,,chat_monster1,looping,NO,,NO,Inside every adventurer is a skeleton|just waiting to get out.,Your hapless flesh will fail you one day!||You can't rely on anything except bones!,,,I guess now that you've won we'll never find out|what a dice's skeleton looks like.
diceydungeons_singer,Singer,48,voiceovers/singer,singer_songwriter,0|20,singer,-20|0,-100|-80,1031|619,4,5,Sad Verse|Sad Verse|High Note,Sad Verse|Sad Verse|High Note,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,NO,,NO,Ugh[;] that sucks.||Well[;] adversity fuels art. I'll turn this into a song!,Ugh[;] I'll have to add this as an extra verse to the|song I wrote last time.,,,Hey[;] don't run off[;] take a flyer for my show[;] I'm|playing an open mic night next Tuesday...
diceydungeons_gargoyle,Gargoyle,48,voiceovers/gargoyle,gargoyle,0|0,gargoyle,0|0,0|0,1059|485,2,5,Avalanche|Avalanche|Glare|Avalanche|Avalanche,Avalanche|Avalanche|Glare|Avalanche|Avalanche,1,8,NO,NO,NO,,,,,,,,chat_monster2,looping,NO,,NO,(hee heee hee[;] the rocks will crush you and|you will perish here alone),(pleased with yourself?)||(hee hee[;] you may win one fight[;] but the stones of the|dungeons will weigh heavy on your soul for ever) ,(heeee[;] you think you're going to win[;] don't you? But|the granite around you yearns to be your grave.),,(heeehee[;] you think because you won the game[;] you're free.)||(But you're never free of the weight of the earth and|the heft of the stones.)
